ID,Parking,Phone,Description,Renovation_type,Balcony,Windows,WC,Chld_pets_allowed,Lift,Refuse_chute,City,Price_per_month,Res_complex_name,Total_sqr_mtr,Rooms_qty,Room_type,Station,Line,AdmArea,District,Floor,N_of_floor,Bld_type,Furniture_rooms,Furniture_kitchen,Street,Bld.,Time_to_subway,Accessibility,price_per_m,Ceiling_height
274981763,3,1,1,4,0,1,1,2,0,0,1,10.819798284210286,170,3.4339872044851463,1,0,2,24,11,0,2,5,3,1,1,1222,500,2,2,7.419180722820095,2.64
274715559,0,1,1,1,1,1,1,3,0,1,1,10.915106645867503,170,3.828641396489095,2,0,2,24,11,0,6,9,6,1,0,1694,1967,12,2,7.109243821734184,2.64
273850172,0,1,1,1,1,1,1,2,0,1,1,11.002116507732017,170,4.04305126783455,3,0,2,24,11,0,5,5,3,1,0,280,689,12,2,6.977681048517689,2.64
273272235,0,1,1,4,1,1,0,0,1,0,1,11.002116507732017,170,3.9889840465642745,2,0,2,24,11,0,7,16,6,1,1,844,1867,4,2,7.032690871076157,2.64
272898760,0,1,1,4,1,1,1,2,1,0,1,11.082157933374816,170,4.51085950651685,4,1,186,24,11,0,6,8,3,1,1,844,396,1,2,6.583716536236168,2.64
273578496,5,1,1,3,1,1,1,2,1,0,1,11.407576060361786,170,4.6443908991413725,3,1,186,24,11,0,17,25,5,1,1,687,1479,11,2,6.773979751149886,3.0
272734763,0,1,1,3,0,1,1,2,0,1,1,11.407576060361786,170,4.394449154672439,3,1,186,24,11,0,2,5,3,1,1,844,532,2,2,7.026426808699636,2.64
272556471,5,1,1,1,0,0,1,1,0,1,1,11.51293546492023,170,4.465908118654584,3,0,186,24,11,0,10,27,4,0,0,687,1479,9,2,7.059437799128602,2.64
272521639,5,1,1,1,0,0,1,1,0,1,1,11.775297421715827,170,4.795790545596741,3,2,2,24,11,0,12,22,5,0,0,1393,1004,9,2,6.988720637805241,2.64
269561183,5,1,1,3,1,1,0,2,1,0,1,11.849404844423074,356,4.454347296253507,3,0,2,24,11,0,5,22,5,1,1,734,511,10,2,7.407353403721611,3.0
